0,affenpinscher
3,airedale
6,australian_terrier
20,bouvier_des_flandres
22,brabancon_griffon
23,briard
26,cairn
30,chow
35,dandie_dinmont
48,giant_schnauzer
58,irish_water_spaniel
61,japanese_spaniel
62,keeshond
64,kerry_blue_terrier
68,lakeland_terrier
70,lhasa
73,maltese_dog
76,miniature_poodle
77,miniature_schnauzer
79,norfolk_terrier
81,norwich_terrier
82,old_english_sheepdog
84,papillon
85,pekinese
87,pomeranian
96,scotch_terrier
98,sealyham_terrier
100,shih-tzu
102,silky_terrier
103,soft-coated_wheaten_terrier
105,standard_poodle
106,standard_schnauzer
107,sussex_spaniel
109,tibetan_terrier
110,toy_poodle
116,west_highland_white_terrier
118,wire-haired_fox_terrier
119,yorkshire_terrier
